学年,対象の漢字,読み,文章,ぶんしょう
1,天,てん,かれは{理科}の[天]{才}だ。,かれは{りか}の[てん]{さい}だ。
1,女,おんな,[女]の{子}が{集}まっておしゃべりする。,[おんな]の{こ}が{あつ}まっておしゃべりする。
1,女,じょ,いたずら{好}きの{少}[女]に{困}らされる。,いたずら{ず}きの{しょう}[じょ]に{こま}らされる。
1,子,こ,[子]{供}あつかいされて{少}しイライラする。,[こ]{ども}あつかいされて{すこ}しイライラする。
1,子,し,ぐっすりねたから{今日}は{調}[子]がいい。,ぐっすりねたから{きょう}は{ちょう}[し]がいい。
1,子,す,かれの{様}[子]がなんだかおかしい。,かれの{よう}[す]がなんだかおかしい。
1,字,じ,{本}の{中}で{分}からない{漢}[字]があった。,{ほん}の{なか}で{わ}からない{かん}[じ]があった。
1,学,がく,{中}[学]{生}になって{部活動}を{楽}しむ。,{ちゅう}[がく]{せい}になって{ぶかつどう}を{たの}しむ。
1,学,がっ,{音楽}の{先生}が{他}の[学]{校}に{転勤}する。,{おんがく}の{せんせい}が{ほか}の[がっ]{こう}に{てんきん}する。
1,学,まな,{月}や{地球}の{動}きについて[学]ぶ。,{つき}や{ちきゅう}の{うご}きについて[まな]ぶ。
1,小,お,[小]{川}に{船}のおもちゃを{流}して{遊}ぶ。,[お]{がわ}に{ふね}のおもちゃを{なが}して{あそ}ぶ。
1,小,こ,{朝}からずっと[小]{降}りの{雨}が{続}いている。,{あさ}からずっと[こ]{ぶ}りの{あめ}が{つづ}いている。
1,小,しょう,[小]{数点}を{書}き{忘}れてバツがついてしまった。,[しょう]{すうてん}を{か}き{わす}れてバツがついてしまった。
1,小,ちい,{氷}がとけて[小]さくなる。,{こおり}がとけて[ちい]さくなる。
1,山,さん,この{家}からは{富士}[山]が{見}える。,この{いえ}からは{ふじ}[さん]が{み}える。
1,山,やま,{夜}の[山]でそうなんしそうになった。,{よる}の[やま]でそうなんしそうになった。
1,川,かわ,{大}きな[川]を{船}でわたる。,{おお}きな[かわ]を{ふね}でわたる。
1,左,さ,どうすればいいか{分}からず{右往}[左]{往}する。,どうすればいいか{わ}からず{うおう}[さ]{おう}する。
1,左,ひだり,{視力検査}で[左]{目}をかくす。,{しりょくけんさ}で[ひだり]{め}をかくす。
1,年,とし,[年]こしそばをのんびりすする。,[とし]こしそばをのんびりすする。
1,手,しゅ,{会場}に{選}[手]が{入場}してくる。,{かいじょう}に{せん}[しゅ]が{にゅうじょう}してくる。
1,手,て,{相}[手]の{主張}に{反論}する。,{あい}[て]の{しゅちょう}に{はんろん}する。
1,手,て,{転}んで{右}の[手]の{平}をすりむく。,{ころ}んで{みぎ}の[て]の{ひら}をすりむく。
1,文,ぶん,ぼくは{算数}の[文]{章問題}が{苦手}だ。,ぼくは{さんすう}の[ぶん]{しょうもんだい}が{にがて}だ。
1,文,もん,もう{決}まったことにぐちぐちと[文]{句}を{言}う。,もう{き}まったことにぐちぐちと[もん]{く}を{ゆ}う。
1,日,ひ,[日]ごろの{感謝}を{家族}に{伝}える。,[ひ]ごろの{かんしゃ}を{かぞく}に{つた}える。
1,日,か,くずれた{橋}が{七}[日]{間}で{元通}りになった。,くずれた{はし}が{なな}[か]{かん}で{もととお}りになった。
1,日,じつ,この{前}の{休}[日]は{友達}と{遊}びに{行}った。,この{まえ}の{きゅう}[じつ]は{ともだち}と{あそ}びに{い}った。
1,日,にち,{集合}する[日]{時}と{場所}を{確認}する。,{しゅうごう}する[にち]{じ}と{ばしょ}を{かくにん}する。
1,日,ひ,はち{植}えを[日]{当}たりの{良}い{場所}に{移}す。,はち{う}えを[ひ]{あ}たりの{よ}い{ばしょ}に{うつ}す。
1,早,そう,{急}に{具合}が{悪}くなって[早]{退}する。,{きゅう}に{ぐあい}が{わる}くなって[そう]{たい}する。
1,早,はや,{朝}[早]くから{野球}の{練習}をする。,{あさ}[はや]くから{やきゅう}の{れんしゅう}をする。
1,月,がつ,お{正}[月]はだらだらして{過}ごした。,お{しょう}[がつ]はだらだらして{す}ごした。
1,月,げつ,{今日}は{満}[月]の{日}だ。,{きょう}は{まん}[げつ]の{ひ}だ。
1,月,つき,[月]を{望遠鏡}で{見}る。,[つき]を{ぼうえんきょう}で{み}る。
1,木,き,くりの[木]をゆらしていがぐりを{落}とす。,くりの[き]をゆらしていがぐりを{お}とす。
1,木,こ,[木]かげにね{転}がって{休}む。,[こ]かげにね{ころ}がって{やす}む。
1,木,もく,おぼうさんが[木]{魚}をたたきながらおきょうを{唱}える。,おぼうさんが[もく]{ぎょ}をたたきながらおきょうを{とな}える。
1,本,ほん,{習字}のお{手}[本]を{見}ながら{書}く。,{しゅうじ}のお{て}[ほん]を{み}ながら{か}く。
1,本,もと,{雑草}を{根}[本]から{引}っこぬく。,{ざっそう}を{ね}[もと]から{ひ}っこぬく。
1,村,そん,{山}おくにある{農}[村]をおとずれる。,{やま}おくにある{のう}[そん]をおとずれる。
1,村,むら,この[村]は{毎年}、{春}にお{祭}りをする。,この[むら]は{まいとし}、{はる}にお{まつ}りをする。
1,林,はやし,[林]の{中}の{遊歩道}をのんびり{歩}く。,[はやし]の{なか}の{ゆうほどう}をのんびり{ある}く。
1,林,りん,ボランティアの{植}[林]{活動}に{参加}する。,ボランティアの{しょく}[りん]{かつどう}に{さんか}する。
1,校,こう,{入学式}に{向}けて[校]{内}をかざり{付}ける。,{にゅうがくしき}に{む}けて[こう]{ない}をかざり{つ}ける。
1,森,しん,[森]{林}の{中}を{散歩}する。,[しん]{りん}の{なか}を{さんぽ}する。
1,森,もり,[森]に{入}って{虫}を{集}める。,[もり]に{はい}って{むし}を{あつ}める。
1,正,しょう,ぼくの{家}の[正]{面}にはコンビニがある。,ぼくの{いえ}の[しょう]{めん}にはコンビニがある。
1,正,せい,{国会}で{法律}が{改}[正]される。,{こっかい}で{ほうりつ}が{かい}[せい]される。
1,正,ただ,パズルに[正]しいピースをはめこむ。,パズルに[ただ]しいピースをはめこむ。
1,正,まさ,{昨日見}た{夢}が[正]{夢}になる。,{きのうみ}た{ゆめ}が[まさ]{ゆめ}になる。
1,気,き,{田中}くんはいつも{元}[気]だ。,{たなか}くんはいつも{げん}[き]だ。
1,気,け,{山}を{登}っているとあちこちから{動物}の[気]{配}がする。,{やま}を{のぼ}っているとあちこちから{どうぶつ}の[け]{はい}がする。
1,水,すい,{池}の[水]{面}に{葉}っぱがうかんでいる。,{いけ}の[すい]{めん}に{は}っぱがうかんでいる。
1,水,みず,トイレに[水]を{流}す。,トイレに[みず]を{なが}す。
1,火,か,{料理}をするために、コンロを{点}[火]する。,{りょうり}をするために、コンロを{てん}[か]する。
1,火,ひ,アルコールランプに[火]をつける。,アルコールランプに[ひ]をつける。
1,犬,いぬ,{飼}っている[犬]に{顔}をなめられる。,{か}っている[いぬ]に{かお}をなめられる。
1,犬,けん,かい{助}[犬]といっしょにレストランに{入}る。,かい{じょ}[けん]といっしょにレストランに{はい}る。
1,玉,ぎょく,{家宝}の{宝}[玉]をていねいにみがく。,{かほう}の{ほう}[ぎょく]をていねいにみがく。
1,玉,たま,スーパーで{水}[玉]{模様}のかさを{買}う。,スーパーで{みず}[たま]{もよう}のかさを{か}う。
1,王,おう,{立派}なかんむりをかぶった[王]さまに{会}う。,{りっぱ}なかんむりをかぶった[おう]さまに{あ}う。
1,生,い,{私}の{祖父}はとても{長}[生]きです。,{わたし}の{そふ}はとても{なが}[い]きです。
1,生,う,{動物園}のパンダに{子}どもが[生]まれる。,{どうぶつえん}のパンダに{こ}どもが[う]まれる。
1,生,しょう,エジソンは{一}[生]のうちに{多}くの{発明}をした。,エジソンは{いっ}[しょう]のうちに{おお}くの{はつめい}をした。
1,生,せい,[生]{徒会長}の{選挙}でだれに{投票}しようかなやむ。,[せい]{とかいちょう}の{せんきょ}でだれに{とうひょう}しようかなやむ。
1,生,せい,{大学}[生]から{大学}での{過}ごし{方}を{聞}く。,{だいがく}[せい]から{だいがく}での{す}ごし{かた}を{き}く。
1,生,なま,お{墓}の{方}から[生]ぬるい{風}がふいてきた。,お{はか}の{ほう}から[なま]ぬるい{かぜ}がふいてきた。
1,生,は,{家}の{庭}に{雑草}が[生]える。,{いえ}の{にわ}に{ざっそう}が[は]える。
1,田,た,[田]にいねを{植}えて{育}つのを{待}つ。,[た]にいねを{う}えて{そだ}つのを{ま}つ。
1,田,でん,この{辺}はあちこちに{水}[田]がある。,この{へん}はあちこちに{すい}[でん]がある。
1,男,おとこ,ヒーローショーに[男]の{子}たちが{集}まっている。,ヒーローショーに[おとこ]の{こ}たちが{あつ}まっている。
1,男,だん,[男]{女}で{分}かれて{水着}に{着}がえる。,[だん]{じょ}で{わ}かれて{みずぎ}に{き}がえる。
1,男,なん,ぼくは{三人兄弟}の{長}[男]だ。,ぼくは{さんにんきょうだい}の{ちょう}[なん]だ。
1,町,ちょう,[町]{内会}で{節分}の{行事}が{行}われる。,[ちょう]{ないかい}で{せつぶん}の{ぎょうじ}が{おこな}われる。
1,町,まち,さすらいの{旅人}が{港}[町]に{立}ち{寄}る。,さすらいの{たびびと}が{みなと}[まち]に{た}ち{よ}る。
1,白,しら,つまらないギャグで{場}が[白]ける。,つまらないギャグで{ば}が[しら]ける。
1,白,しろ,[白]い{歯}をむきだしにして{笑}う。,[しろ]い{は}をむきだしにして{わら}う。
1,白,はく,{平安時代}では、[白]{米}はごちそうだった。,{へいあんじだい}では、[はく]{まい}はごちそうだった。
1,百,ひゃく,では、{教科書}の[百]{五}ページを{開}いてください。,では、{きょうかしょ}の[ひゃく]{ご}ページを{ひら}いてください。
1,目,め,{朝食}の[目]{玉焼}きにソースをかける。,{ちょうしょく}の[め]{だまや}きにソースをかける。
1,目,もく,[目]{標}に{向}かってつっ{走}る。,[もく]{ひょう}に{む}かってつっ{ぱし}る。
1,石,いし,{道}ばたできれいな[石]を{見}つけた。,{みち}ばたできれいな[いし]を{み}つけた。
1,石,しゃく,{磁}[石]を{使}って{砂鉄}を{集}める。,{じ}[しゃく]を{つか}って{さてつ}を{あつ}める。
1,石,せき,ドリルで{岩}[石]をくだいてトンネルをほる。,ドリルで{がん}[せき]をくだいてトンネルをほる。
1,空,あ,{来週}なら{予定}が[空]いているよ。,{らいしゅう}なら{よてい}が[あ]いているよ。
1,空,から,{部屋}の{整理}をして、たなが[空]になる。,{へや}の{せいり}をして、たなが[から]になる。
1,空,そら,{夕方}を{過}ぎて[空]が{暗}くなってきた。,{ゆうがた}を{す}ぎて[そら]が{くら}くなってきた。
1,立,た,ここから{先}は{危険}なので[立]ち{入}り{禁止}です。,ここから{さき}は{きけん}なので[た]ち{い}り{きんし}です。
1,立,りつ,{勉強}と{部活}を{両}[立]させる。,{べんきょう}と{ぶかつ}を{りょう}[りつ]させる。
1,竹,たけ,[竹]を{使}ってかごを{編}む。,[たけ]を{つか}ってかごを{あ}む。
1,竹,ちく,おじいさんは[竹]{林}でかぐやひめを{見}つけた。,おじいさんは[ちく]{りん}でかぐやひめを{み}つけた。
1,糸,いと,{集中}して{針}の{穴}に[糸]を{通}す。,{しゅうちゅう}して{はり}の{あな}に[いと]を{とお}す。
1,耳,みみ,その{豆知識}は{初}[耳]だった。,その{まめちしき}は{はつ}[みみ]だった。
1,花,か,{学校}の[花]だんに、あたらしい{花}を{植}えた。,{がっこう}の[か]だんに、あたらしい{はな}を{う}えた。
1,花,はな,タンポポの[花]が{白}い{綿毛}に{変}わる。,タンポポの[はな]が{しろ}い{わたげ}に{か}わる。
1,草,くさ,[草]むらからコオロギの{鳴}き{声}が{聞}こえる。,[くさ]むらからコオロギの{な}き{ごえ}が{き}こえる。
1,草,そう,{山}おくから{薬}[草]をつんでくる。,{やま}おくから{やく}[そう]をつんでくる。
1,虫,ちゅう,{魚}の{身}から{寄生}[虫]を{取}り{除}く。,{さかな}の{み}から{きせい}[ちゅう]を{と}り{のぞ}く。
1,虫,むし,[虫]{歯}を{治}しに{歯医者}へ{行}く。,[むし]{ば}を{なお}しに{はいしゃ}へ{い}く。
1,見,けん,{消}しゴムがどこに{行}ったのか[見]{当}もつかない。,{け}しゴムがどこに{い}ったのか[けん]{とう}もつかない。
1,見,み,{乗車券}を{駅員}さんに[見]せる。,{じょうしゃけん}を{えきいん}さんに[み]せる。
1,見,み,{友達}を[見]{習}って{真面目}に{取}り{組}む。,{ともだち}を[み]{なら}って{まじめ}に{と}り{く}む。
1,貝,かい,{砂}はまで[貝]がらを{拾}い{集}める。,{すな}はまで[かい]がらを{ひろ}い{あつ}める。
1,赤,あか,ケガをして[赤]い{血}が{出}る。,ケガをして[あか]い{ち}が{で}る。
1,赤,あか,{先生}が[赤]のボールペンでテストを{採点}する。,{せんせい}が[あか]のボールペンでテストを{さいてん}する。
1,赤,せき,{先生}をお{母}さんと{呼}んでしまって[赤]{面}する。,{せんせい}をお{かあ}さんと{よ}んでしまって[せき]{めん}する。
1,足,あし,{森}の{中}を[足]{元}に{気}をつけて{歩}く。,{もり}の{なか}を[あし]{もと}に{き}をつけて{ある}く。
1,足,そく,{他}の{人}の{説明}に{補}[足]を{加}える。,{ほか}の{ひと}の{せつめい}に{ほ}[そく]を{くわ}える。
1,足,た,クッキーの{生地}に{砂糖}を{少}し[足]す。,クッキーの{きじ}に{さとう}を{すこ}し[た]す。
1,車,くるま,[車]のタイヤがどろにはまってしまう。,[くるま]のタイヤがどろにはまってしまう。
1,車,しゃ,{自転}[車]で{遠}くに{出}かける。,{じてん}[しゃ]で{とお}くに{で}かける。
1,金,かな,[金]づちでくぎを{打}つ。,[かな]づちでくぎを{う}つ。
1,金,かね,{海外旅行}に{行}くためにお[金]をかせぐ。,{かいがいりょこう}に{い}くためにお[かね]をかせぐ。
1,金,きん,{毎週}[金]{曜日}はピアノ{教室}の{日}だ。,{まいしゅう}[きん]{ようび}はピアノ{きょうしつ}の{ひ}だ。
1,金,こん,{岐阜県}には[金]{色}の{織田信長像}がある。,{ぎふけん}には[こん]{じき}の{おだのぶながぞう}がある。
1,雨,あめ,[雨]が{降}ったせいで、{今日}の{遠足}は{中止}になった。,[あめ]が{ふ}ったせいで、{きょう}の{えんそく}は{ちゅうし}になった。
1,雨,う,{今年}のつゆは、{特}に{降}[雨]{量}が{多}いらしい。,{ことし}のつゆは、{とく}に{こ}[う]{うりょう}が{おお}いらしい。
1,青,あお,パンに[青]カビが{生}えてしまった。,パンに[あお]カビが{は}えてしまった。
1,青,あお,{忘}れ{物}に{気}づいて{顔}が[青]くなる。,{わす}れ{もの}に{き}づいて{かお}が[あお]くなる。
1,青,せい,[青]{春}を{思}い{切}り{楽}しむ。,[せい]{しゅん}を{おも}い{き}り{たの}しむ。
1,音,おと,{虫}の{羽}[音]が{気}になって、{勉強}に{集中}できない。,{むし}の{は}[おと]が{き}になって、{べんきょう}に{しゅうちゅう}できない。
1,音,おん,この{問題}の{答}えは[音]{読}みです。,この{もんだい}の{こた}えは[おん]{よ}みです。
1,音,ね,どこかからピアノのきれいな[音]{色}が{聞}こえてくる。,どこかからピアノのきれいな[ね]{いろ}が{き}こえてくる。
2,万,まん,{今年}もらったお{年玉}は{全部}で{一}[万]{円}だった。,{ことし}もらったお{としだま}は{ぜんぶ}で{いち}[まん]{えん}だった。
2,丸,まる,{苦手}なレーズンを[丸]{飲}みする。,{にがて}なレーズンを[まる]{の}みする。
2,交,こう,[交]{番}に{落}とし{物}を{届}ける。,[こう]{ばん}に{お}とし{もの}を{とど}ける。
2,交,ま,{大人}たちに[交]じっておしゃべりする。,{おとな}たちに[ま]じっておしゃべりする。
2,交,まじ,{校長先生}も[交]えてクラス{会}を{開}く。,{こうちょうせんせい}も[まじ]えてクラス{かい}を{ひら}く。
2,京,きょう,[京]{都}のおみやげをたくさん{買}って{帰}る。,[きょう]{と}のおみやげをたくさん{か}って{かえ}る。
2,今,いま,{楽}しみにしていた{試合}が[今]から{始}まる。,{たの}しみにしていた{しあい}が[いま]から{はじ}まる。
2,今,こん,[今]{週}の{土曜日}、いっしょに{遊}びに{行}かない？,[こん]{しゅう}の{どようび}、いっしょに{あそ}びに{い}かない？
2,会,あ,{芸能人}と[会]って、あく{手}をしてもらった。,{げいのうじん}と[あ]って、あく{しゅ}をしてもらった。
2,会,かい,{社}[会]の{授業}で{居}ねむりしておこられた。,{しゃ}[かい]の{じゅぎょう}で{い}ねむりしておこられた。
2,体,からだ,おふろに{入}って[体]のよごれを{洗}い{流}す。,おふろに{はい}って[からだ]のよごれを{あら}い{なが}す。
2,体,たい,テニスの[体]{験教室}に{参加}する。,テニスの[たい]{けんきょうしつ}に{さんか}する。
2,何,なに,{君}は{昼休}みには、いつも[何]をしているの？,{きみ}は{ひるやす}みには、いつも[なに]をしているの？
2,作,さ,{神社}にお{参}りするときの[作]{法}を{調}べる。,{じんじゃ}にお{まい}りするときの[さ]{ほう}を{しら}べる。
2,作,さく,{畑}から[作]{物}を{収}かくする。,{はたけ}から[さく]{もつ}を{しゅう}かくする。
2,作,つく,オリジナルの{歌}を[作]る。,オリジナルの{うた}を[つく]る。
