学年,対象の漢字,読み,文章,ぶんしょう,英語,スペイン語
1,下,した,ソファーの[下]にビー{玉}が{転}がっていった。,ソファーの[した]にビー{だま}が{ころ}がっていった。,The marbles rolled under the sofa.,Las canicas rodaron debajo del sofá.
1,下,しも,{川}[下]の{方}で、{無}くしたサンダルが{見}つかった。,{かわ}[しも]の{ほう}で、{な}くしたサンダルが{み}つかった。,I found my lost sandals downstream.,Encontré mis sandalias perdidas río abajo.
1,中,じゅう,{今日}は{一日}[中]、{風}が{強}かった。,{きょう}は{いちにち}[じゅう]、{かぜ}が{つよ}かった。,The wind was strong all day today.,El viento estuvo fuerte durante todo el día de hoy.
1,中,ちゅう,いやな{予感}が{的}[中]してしまった。,いやな{よかん}が{てき}[ちゅう]してしまった。,My unpleasant premonition came true.,Mi desagradable premonición se hizo realidad.
1,中,なか,{作品}の[中]で、{作者}の{姿}がえがかれる。,{さくひん}の[なか]で、{さくしゃ}の{すがた}がえがかれる。,The author's image can be seen in the work.,La imagen del autor se puede ver en la obra.
1,九,きゅう,[九]{州地方}の{県庁所在地}はマスターした。,[きゅう]{しゅうちほう}の{けんちょうしょざいち}はマスターした。,I have mastered the prefectural capitals of the Kyushu region.,He dominado las capitales de las prefecturas de la región de Kyushu.
1,九,く,{算数}の[九]{九}はまだ{全}て{暗記}できていない。,{さんすう}の[く]{く}はまだ{すべ}て{あんき}できていない。,I still haven't memorized all the arithmetic tables.,Todavía no he memorizado todas las tablas aritméticas.
1,九,ここの,{都道府県名}のテストで[九]つ{書}けなかった。,{とどうふけんめい}のテストで[ここの]つ{か}けなかった。,I couldn't write nine names on the prefecture name test.,No pude escribir nueve nombres en la prueba de nombres de prefectura.
1,二,に,{酸素}を{取}りこんで、[二]{酸化炭素}をはき{出}す。,{さんそ}を{と}りこんで、[に]{さんかたんそ}をはき{だ}す。,It takes in oxygen and gives out carbon dioxide.,Toma oxígeno y emite dióxido de carbono.
1,二,ふた,かれはいつも[二]{言目}には「やべえ」と{言}う。,かれはいつも[ふた]{ことめ}には「やべえ」と{い}う。,"He always says ""Oh no"" on the second word.","Siempre dice ""Oh, no"" en la segunda palabra."
1,五,いつ,{上}から[五]つ{目}のボタンをかけちがえる。,{うえ}から[いつ]つ{め}のボタンをかけちがえる。,Press the fifth button from the top.,Presione el quinto botón desde arriba.
1,五,ご,{昨日}の{晩}ごはんは[五]{目}ごはんだった。,{きのう}の{ばん}ごはんは[ご]{もく}ごはんだった。,Last night's dinner was gomoku rice.,La cena de anoche fue arroz gomoku.
1,人,じん,{小説}の{主}[人]{公}に{共感}する。,{しょうせつ}の{しゅ}[じん]{こう}に{きょうかん}する。,Empathize with the main character of the novel.,Empatizar con el personaje principal de la novela.
1,人,にん,ひな{祭}りの{日}にひな[人]{形}をかざった。,ひな{まつ}りの{ひ}にひな[にん]{ぎょう}をかざった。,I decorated Hina dolls on the Doll's Festival.,Decoré muñecas Hina en el Festival de Muñecas.
1,人,ひと,[人]があまり{来}ない{所}に{秘密基地}をつくる。,[ひと]があまり{こ}ない{ところ}に{ひみつきち}をつくる。,Build a secret base in a place where not many people visit.,Construye una base secreta en un lugar donde no visite mucha gente.
1,休,きゅう,{今月}は{連}[休]がないからゆううつだ。,{こんげつ}は{れん}[きゅう]がないからゆううつだ。,"There are no consecutive holidays this month, so I'm feeling depressed.","Este mes no hay días festivos consecutivos, así que me siento deprimido."
1,休,やす,お{昼}[休]みの{後}の{授業}はねむい。,お{ひる}[やす]みの{あと}の{じゅぎょう}はねむい。,Classes after lunch break are sleepy.,Las clases después del almuerzo tienen sueño.
1,先,さき,さいほう{針}の[先]が{指}にささる。,さいほう{はり}の[さき]が{ゆび}にささる。,The tip of the needle sticks in my finger.,La punta de la aguja se clava en mi dedo.
1,先,せん,[先]{生}といっしょに{教室}のそうじに{取}り{組}む。,[せん]{せい}といっしょに{きょうしつ}のそうじに{と}り{く}む。,Work together with the teacher to clean the classroom.,Trabajar junto con el maestro para limpiar el salón de clases.
1,入,い,いつも{乗}っている{自転車}をお{手}[入]れする。,いつも{の}っている{じてんしゃ}をお{て}[い]れする。,Take care of the bicycle you always ride.,Cuida la bicicleta que utilizas siempre.
1,入,にゅう,{今年}から{空手教室}に[入]{門}した。,{ことし}から{からてきょうしつ}に[にゅう]{もん}した。,I started a karate class this year.,Empecé una clase de karate este año.
1,入,はい,{庭}の{巣箱}に{鳥}が[入]っていった。,{にわ}の{すばこ}に{とり}が[はい]っていった。,A bird went into the birdhouse in the garden.,Un pájaro entró en la pajarera del jardín.
1,八,はち,{夏休}みは[八]{月末}までだ。,{なつやす}みは[はち]{がつまつ}までだ。,Summer vacation lasts until the end of August.,Las vacaciones de verano duran hasta finales de agosto.
1,八,や,[八]{重桜}の{写真}をとる。,[や]{えざくら}の{しゃしん}をとる。,Take a photo of double cherry blossoms.,Tome una fotografía de flores de cerezo dobles.
1,八,や,ものに[八]つ{当}たりしておこられる。,ものに[や]つ{あ}たりしておこられる。,It is caused by hitting something.,Se produce al golpear algo.
1,八,やっ,としが[八]つくらいの{子}と{遊}ぶ。,としが[やっ]つくらいの{こ}と{あそ}ぶ。,Toshiga plays with a child who is about eight years old.,Toshiga juega con un niño de unos ocho años.
1,八,よう,[八]{日}の{正午}に{待}ち{合}わせをする。,[よう]{か}の{しょうご}に{ま}ち{あ}わせをする。,We will meet at noon on the 8th.,Nos reuniremos el día 8 al mediodía.
1,六,む,とんかつを[六]つ{切}りにしてテーブルに{並}べる。,とんかつを[む]つ{ぎ}りにしてテーブルに{なら}べる。,Cut the tonkatsu into six pieces and arrange them on the table.,Corta el tonkatsu en seis trozos y colócalos sobre la mesa.
1,六,むい,{今日}で{犬}を{飼}い{始}めて[六]{日目}になった。,{きょう}で{いぬ}を{か}い{はじ}めて[むい]{かめ}になった。,Today is the sixth day since I got a dog.,Hoy es el sexto día desde que tengo un perro.
1,六,むっ,みかんを[六]つこたつの{上}に{置}く。,みかんを[むっ]つこたつの{うえ}に{お}く。,Place six mandarin oranges on the kotatsu.,Coloque seis mandarinas sobre el kotatsu.
1,六,ろく,{夏休}み{前}は、{図書室}で[六]{冊}まで{本}を{借}りられます。,{なつやす}み{まえ}は、{としょしつ}で[ろく]{さつ}まで{ほん}を{か}りられます。,"Before summer vacation, you can borrow up to six books from the library.","Antes de las vacaciones de verano, puedes pedir prestados hasta seis libros de la biblioteca."
1,円,えん,おかしの{代金}を、{五}[円]{玉}を{使}ってはらった。,おかしの{だいきん}を、{ご}[えん]{たま}を{つか}ってはらった。,I used a five-yen coin to pay for the snacks.,Usé una moneda de cinco yenes para pagar los bocadillos.
1,円,まる,コンパスとハサミを{使}って、{紙}を[円]く{切}った。,コンパスとハサミを{つか}って、{かみ}を[まる]く{き}った。,Cut the paper into a circle using a compass and scissors.,Corta el papel en un círculo con un compás y unas tijeras.
1,出,しゅつ,ホースから{水}を{一気}に{放}[出]する。,ホースから{みず}を{いっき}に{ほう}[しゅつ]する。,Release water from the hose all at once.,Libere el agua de la manguera de una vez.
1,出,だ,ポケットからハンカチを{取}り[出]す。,ポケットからハンカチを{と}り[だ]す。,I take out a handkerchief from my pocket.,Saco un pañuelo de mi bolsillo.
1,出,で,{机}のおくから{百円玉}が[出]てくる。,{つくえ}のおくから{ひゃくえんたま}が[で]てくる。,A 100 yen coin comes out from the desk.,Del escritorio sale una moneda de 100 yenes.
1,力,ちから,[力]{任}せにドアをこじ{開}ける。,[ちから]{まか}せにドアをこじ{あ}ける。,Pry open the door with all your might.,Abre la puerta con todas tus fuerzas.
1,力,りき,こんしんの[力]{作}がついに{完成}する。,こんしんの[りき]{さく}がついに{かんせい}する。,Konshin's masterpiece is finally completed.,La obra maestra de Konshin finalmente está terminada.
1,力,りょく,リンゴが{引}[力]によって{下}に{落}ちる。,リンゴが{いん}[りょく]によって{した}に{お}ちる。,The apple falls to the bottom due to gravity.,La manzana cae al fondo debido a la gravedad.
1,十,じゅう,{自動}はん{売機}に[十]{円玉}を{入}れる。,{じどう}はん{ばいき}に[じゅう]{えんたま}を{い}れる。,Put a ten yen coin into the automatic ticket machine.,Introduzca una moneda de diez yenes en la máquina expendedora de billetes.
1,十,と,みんな{個性}がちがう。[十]{人十色}だ。,みんな{こせい}がちがう。[と]{いろ}だ。,Everyone has different personalities. There are ten different people.,Cada uno tiene diferentes personalidades. Hay diez personas diferentes.
1,十,とお,{夏休}みの[十]{日目}に{遊}びにさそわれた。,{なつやす}みの[とお]{かめ}に{あそ}びにさそわれた。,"On the tenth day of summer vacation, I was invited to play.",El décimo día de las vacaciones de verano me invitaron a jugar.
1,千,せん,{私}は{二}[千]{円札}を{見}たことがない。,{わたくし}は{に}[せん]{えんさつ}を{み}たことがない。,"I've never seen a 2,000 yen bill.",Nunca he visto un billete de 2.000 yenes.
1,千,ち,きれいな[千]{代紙}でつるを{折}った。,きれいな[ち]{よがみ}でつるを{お}った。,I folded the vines out of beautiful chiyogami paper.,Doblé las enredaderas con un hermoso papel chiyogami.
1,口,く,{上田}さんは{少}し{変}わった[口]{調}で{話}す。,{うえだ}さんは{すこ}し{か}わった[く]{ちょう}で{はな}す。,Mr. Ueda speaks in a slightly unusual tone.,El señor Ueda habla en un tono ligeramente inusual.
1,口,くち,{早}[口]{言葉}にチャレンジしたら{舌}をかんだ。,{はや}[くち]{ことば}にチャレンジしたら{した}をかんだ。,I bit my tongue when I tried to use a tongue twister.,Me mordí la lengua cuando intenté usar un trabalenguas.
1,口,こう,{日本}の{中}では{東京}が{最}も{人}[口]{密度}が{高}い。,{にっぽん}の{なか}では{とうきょう}が{もっと}も{じん}[こう]{みつど}が{たか}い。,Tokyo has the highest population density in Japan.,Tokio tiene la mayor densidad de población de Japón.
1,右,う,{前}の{車}がいきなり[右]{折}する。,{まえ}の{くるま}がいきなり[う]{せつ}する。,The car in front suddenly turns right.,El coche que va delante gira de repente a la derecha.
1,右,みぎ,[右]{手}でコップを{持}って{歩}く。,[みぎ]{て}でコップを{も}って{ある}く。,Walk with a cup in your right hand.,Camine con una taza en su mano derecha.
1,右,ゆう,{横断歩道}をわたる{前}に{左}[右]を{確認}する。,{おうだんほどう}をわたる{まえ}に{さ}[ゆう]を{かくにん}する。,Check left and right before crossing the crosswalk.,Verifique a la izquierda y a la derecha antes de cruzar el cruce de peatones.
1,名,な,{新}しく{生}まれる{子}どもの[名]{前}になやむ。,{あたら}しく{う}まれる{こ}どもの[な]{まえ}になやむ。,I love the name of my new child.,Me encanta el nombre de mi nuevo hijo.
1,名,みょう,この{物語}には{個性的}な[名]{字}の{登場人物}が{多}い。,この{ものがたり}には{こせいてき}な[みょう]{じ}の{とうじょうじんぶつ}が{おお}い。,This story has many characters with unique last names.,Esta historia tiene muchos personajes con apellidos únicos.
1,名,めい,しょうぎの[名]{人}がコンピュータと{勝負}をする。,しょうぎの[めい]{じん}がコンピュータと{しょうぶ}をする。,A master swordsman competes against a computer.,Un maestro espadachín compite contra una computadora.
1,四,し,[四]{季}があるのは{日本}の{特}ちょうの{一}つだ。,[し]{き}があるのは{にっぽん}の{とく}ちょうの{ひと}つだ。,One of Japan's special features is that it has four seasons.,Una de las características especiales de Japón es que tiene cuatro estaciones.
1,四,よ,{友達}[四]{人}でババぬきをする。,{ともだち}[よ]{にん}でババぬきをする。,Four of my friends are going to have a baba-nuki session.,Cuatro de mis amigos van a tener una sesión de baba-nuki.
1,四,よっ,{夏休}み[四]{日目}から{宿題}をやらなくなった。,{なつやす}み[よっ]{かめ}から{しゅくだい}をやらなくなった。,I stopped doing my homework from the fourth day of summer vacation.,Dejé de hacer los deberes desde el cuarto día de las vacaciones de verano.
1,四,よん,[四]{連続}でじゃんけんに{負}ける。,[よん]{れんぞく}でじゃんけんに{ま}ける。,"Lose to rock, paper, scissors four times in a row.","Pierde contra piedra, papel y tijera cuatro veces seguidas."
1,土,つち,[土]{遊}びでどろだらけになって{帰}ってくる。,[つち]{あそ}びでどろだらけになって{かえ}ってくる。,They come home covered in mud from playing in the dirt.,Regresan a casa cubiertos de barro por jugar en la tierra.
1,土,と,{買}った[土]{地}に{家}を{建}てる。,{か}った[と]{ち}に{いえ}を{た}てる。,Build a house on the land you bought.,Construye una casa en el terreno que compraste.
1,土,ど,ここから{先}は[土]{足禁止}ですよ。,ここから{さき}は[ど]{そくきんし}ですよ。,No shoes are allowed from here on.,A partir de ahora no se permiten zapatos.
1,夕,ゆう,きれいな[夕]{焼}けの{写真}をとる。,きれいな[ゆう]{や}けの{しゃしん}をとる。,Take pictures of beautiful sunsets.,Toma fotografías de hermosos atardeceres.
1,大,おお,[大]{雨}でぬれて、かぜをひいてしまった。,[おお]{あめ}でぬれて、かぜをひいてしまった。,I got wet from the heavy rain and caught a cold.,Me mojé por la fuerte lluvia y me resfrié.
1,大,おお,{一番}[大]きいサイズの{服}を{買}う。,{いちばん}[おお]きいサイズの{ふく}を{か}う。,Buy clothes in your largest size.,Compra ropa en tu talla más grande.
1,大,たい,このパズル、[大]して{難}しくなかったね。,このパズル、[たい]して{むずか}しくなかったね。,This puzzle wasn't very difficult.,Este rompecabezas no fue muy difícil.
1,大,だい,{私}はキャンディーが[大]{好}きだ。,{わたくし}はキャンディーが[だい]{す}きだ。,I love candy.,Me encantan los dulces.
1,天,あま,[天]の{川}をながめながらスイカを{食}べた。,[あま]の{がわ}をながめながらスイカを{た}べた。,I ate watermelon while looking at the Milky Way.,Comí sandía mientras miraba la Vía Láctea.
1,天,てん,かれは{理科}の[天]{才}だ。,かれは{りか}の[てん]{さい}だ。,He is a science genius.,Es un genio de la ciencia.
1,女,おんな,[女]の{子}が{集}まっておしゃべりする。,[おんな]の{こ}が{あつ}まっておしゃべりする。,Girls gather and chat.,Las chicas se reúnen y charlan.
1,女,じょ,いたずら{好}きの{少}[女]に{困}らされる。,いたずら{ず}きの{しょう}[じょ]に{こま}らされる。,A mischievous girl troubles me.,Una chica traviesa me preocupa.
1,子,こ,[子]{供}あつかいされて{少}しイライラする。,[こ]{ども}あつかいされて{すこ}しイライラする。,I get a little irritated by being treated like a child.,Me irrita un poco que me traten como a un niño.
1,子,し,ぐっすりねたから{今日}は{調}[子]がいい。,ぐっすりねたから{きょう}は{ちょう}[し]がいい。,"I got a good night's sleep, so I'm feeling good today.","Dormí bien por la noche, así que hoy me siento bien."
1,子,す,かれの{様}[子]がなんだかおかしい。,かれの{よう}[す]がなんだかおかしい。,There's something strange about him.,Hay algo extraño en él.
1,字,じ,{本}の{中}で{分}からない{漢}[字]があった。,{ほん}の{なか}で{わ}からない{かん}[じ]があった。,There was a kanji in the book that I didn't understand.,Había un kanji en el libro que no entendí.
1,学,がく,{中}[学]{生}になって{部活動}を{楽}しむ。,{ちゅう}[がく]{せい}になって{ぶかつどう}を{たの}しむ。,Become a junior high school student and enjoy club activities.,Conviértete en un estudiante de secundaria y disfruta de las actividades del club.
1,学,がっ,{音楽}の{先生}が{他}の[学]{校}に{転勤}する。,{おんがく}の{せんせい}が{ほか}の[がっ]{こう}に{てんきん}する。,A music teacher is transferred to another school.,Un profesor de música es trasladado a otra escuela.
1,学,まな,{月}や{地球}の{動}きについて[学]ぶ。,{つき}や{ちきゅう}の{うご}きについて[まな]ぶ。,Learn about the movements of the moon and the earth.,Aprende sobre los movimientos de la luna y la tierra.
1,小,お,[小]{川}に{船}のおもちゃを{流}して{遊}ぶ。,[お]{がわ}に{ふね}のおもちゃを{なが}して{あそ}ぶ。,Play by floating toy boats down the stream.,Juegue con botes de juguete flotantes río abajo.
1,小,こ,{朝}からずっと[小]{降}りの{雨}が{続}いている。,{あさ}からずっと[こ]{ぶ}りの{あめ}が{つづ}いている。,It has been raining lightly since the morning.,Ha estado lloviendo ligeramente desde la mañana.
1,小,しょう,[小]{数点}を{書}き{忘}れてバツがついてしまった。,[しょう]{すうてん}を{か}き{わす}れてバツがついてしまった。,I forgot to write the decimal point and got a cross.,Olvidé escribir el punto decimal y me salió una cruz.
1,小,ちい,{氷}がとけて[小]さくなる。,{こおり}がとけて[ちい]さくなる。,The ice melts and becomes smaller.,El hielo se derrite y se hace más pequeño.
1,山,さん,この{家}からは{富士}[山]が{見}える。,この{いえ}からは{ふじ}[さん]が{み}える。,You can see Mt. Fuji from this house.,Puedes ver el monte Fuji desde esta casa.
1,山,やま,{夜}の[山]でそうなんしそうになった。,{よる}の[やま]でそうなんしそうになった。,I almost felt like that on the mountain at night.,Casi me sentí así en la montaña por la noche.
1,川,かわ,{大}きな[川]を{船}でわたる。,{おお}きな[かわ]を{ふね}でわたる。,Cross a large river by boat.,Cruzar un gran río en barco.
1,左,さ,どうすればいいか{分}からず{右往}[左]{往}する。,どうすればいいか{わ}からず{うおう}[さ]{おう}する。,I don't know what to do and am confused.,No sé qué hacer y estoy confundido.
1,左,ひだり,{視力検査}で[左]{目}をかくす。,{しりょくけんさ}で[ひだり]{め}をかくす。,I covered my left eye during the vision test.,Me cubrí el ojo izquierdo durante el examen de la vista.
1,年,とし,[年]こしそばをのんびりすする。,[とし]こしそばをのんびりすする。,Leisurely sipping on Toshikoshi soba.,Bebiendo tranquilamente Toshikoshi soba.
1,手,しゅ,{会場}に{選}[手]が{入場}してくる。,{かいじょう}に{せん}[しゅ]が{にゅうじょう}してくる。,Athletes enter the venue.,Los atletas ingresan al recinto.
1,手,て,{相}[手]の{主張}に{反論}する。,{あい}[て]の{しゅちょう}に{はんろん}する。,Refute your opponent's argument.,Refuta el argumento de su oponente.
1,手,て,{転}んで{右}の[手]の{平}をすりむく。,{ころ}んで{みぎ}の[て]の{ひら}をすりむく。,I fell and scraped my right palm.,Me caí y me raspé la palma derecha.
1,文,ぶん,ぼくは{算数}の[文]{章問題}が{苦手}だ。,ぼくは{さんすう}の[ぶん]{しょうもんだい}が{にがて}だ。,I'm not good at math word problems.,No soy bueno en problemas escritos de matemáticas.
1,文,もん,もう{決}まったことにぐちぐちと[文]{句}を{言}う。,もう{き}まったことにぐちぐちと[もん]{く}を{ゆ}う。,I keep complaining about things that have already been decided.,Sigo quejándome de cosas que ya están decididas.
1,日,ひ,[日]ごろの{感謝}を{家族}に{伝}える。,[ひ]ごろの{かんしゃ}を{かぞく}に{つた}える。,Express your daily gratitude to your family.,Expresa tu gratitud diaria a tu familia.
1,日,か,くずれた{橋}が{七}[日]{間}で{元通}りになった。,くずれた{はし}が{なな}[か]{かん}で{もととお}りになった。,The collapsed bridge was restored in seven days.,El puente derrumbado fue restaurado en siete días.
1,日,じつ,この{前}の{休}[日]は{友達}と{遊}びに{行}った。,この{まえ}の{きゅう}[じつ]は{ともだち}と{あそ}びに{い}った。,"Last holiday, I went out with my friends.",Las últimas vacaciones salí con mis amigos.
1,日,にち,{集合}する[日]{時}と{場所}を{確認}する。,{しゅうごう}する[にち]{じ}と{ばしょ}を{かくにん}する。,"Confirm the date, time and location of the meeting.","Confirmar la fecha, hora y lugar de la reunión."
1,日,ひ,はち{植}えを[日]{当}たりの{良}い{場所}に{移}す。,はち{う}えを[ひ]{あ}たりの{よ}い{ばしょ}に{うつ}す。,Move the bee plant to a sunny location.,Mueva la planta de abejas a un lugar soleado.
1,早,そう,{急}に{具合}が{悪}くなって[早]{退}する。,{きゅう}に{ぐあい}が{わる}くなって[そう]{たい}する。,I suddenly become unwell and have to leave work early.,De repente me siento mal y tengo que salir temprano del trabajo.
1,早,はや,{朝}[早]くから{野球}の{練習}をする。,{あさ}[はや]くから{やきゅう}の{れんしゅう}をする。,We practice baseball early in the morning.,Practicamos béisbol temprano en la mañana.
1,月,がつ,お{正}[月]はだらだらして{過}ごした。,お{しょう}[がつ]はだらだらして{す}ごした。,I spent New Year's day lazing around.,Pasé el día de Año Nuevo holgazaneando.
1,月,げつ,{今日}は{満}[月]の{日}だ。,{きょう}は{まん}[げつ]の{ひ}だ。,Today is a full moon day.,Hoy es un día de luna llena.
1,月,つき,[月]を{望遠鏡}で{見}る。,[つき]を{ぼうえんきょう}で{み}る。,Look at the moon through a telescope.,Mira la luna a través de un telescopio.
1,木,き,くりの[木]をゆらしていがぐりを{落}とす。,くりの[き]をゆらしていがぐりを{お}とす。,Shake the chestnut tree to remove the burrs.,Agite el castaño para quitar las rebabas.
1,木,こ,[木]かげにね{転}がって{休}む。,[こ]かげにね{ころ}がって{やす}む。,I roll over and rest in the shade of a tree.,Me doy la vuelta y descanso a la sombra de un árbol.
1,木,もく,おぼうさんが[木]{魚}をたたきながらおきょうを{唱}える。,おぼうさんが[もく]{ぎょ}をたたきながらおきょうを{とな}える。,Obou chants Okyo while hitting the mokgyo.,Obou canta Okyo mientras golpea el mokgyo.
1,本,ほん,{習字}のお{手}[本]を{見}ながら{書}く。,{しゅうじ}のお{て}[ほん]を{み}ながら{か}く。,Write while looking at calligraphy models.,Escribe mientras miras modelos de caligrafía.
1,本,もと,{雑草}を{根}[本]から{引}っこぬく。,{ざっそう}を{ね}[もと]から{ひ}っこぬく。,Pull out weeds from the root.,Arranca las malas hierbas desde la raíz.
1,村,そん,{山}おくにある{農}[村]をおとずれる。,{やま}おくにある{のう}[そん]をおとずれる。,Visit a rural village in the mountains.,Visita a un pueblo rural en la montaña.
1,村,むら,この[村]は{毎年}、{春}にお{祭}りをする。,この[むら]は{まいとし}、{はる}にお{まつ}りをする。,This village holds a festival every spring.,Este pueblo celebra un festival cada primavera.
1,林,はやし,[林]の{中}の{遊歩道}をのんびり{歩}く。,[はやし]の{なか}の{ゆうほどう}をのんびり{ある}く。,Take a leisurely walk along the promenade in the forest.,Dé un paseo tranquilo por el paseo marítimo en el bosque.
1,林,りん,ボランティアの{植}[林]{活動}に{参加}する。,ボランティアの{しょく}[りん]{かつどう}に{さんか}する。,Participate in volunteer tree planting activities.,Participar en actividades voluntarias de plantación de árboles.
1,校,こう,{入学式}に{向}けて[校]{内}をかざり{付}ける。,{にゅうがくしき}に{む}けて[こう]{ない}をかざり{つ}ける。,Decorating the school grounds for the entrance ceremony.,Decoración del recinto escolar para la ceremonia de ingreso.
1,森,しん,[森]{林}の{中}を{散歩}する。,[しん]{りん}の{なか}を{さんぽ}する。,Take a walk in the forest.,Da un paseo por el bosque.
1,森,もり,[森]に{入}って{虫}を{集}める。,[もり]に{はい}って{むし}を{あつ}める。,Go into the forest and collect insects.,Ve al bosque y recolecta insectos.
1,正,しょう,ぼくの{家}の[正]{面}にはコンビニがある。,ぼくの{いえ}の[しょう]{めん}にはコンビニがある。,There is a convenience store in front of my house.,Hay una tienda de conveniencia frente a mi casa.
1,正,せい,{国会}で{法律}が{改}[正]される。,{こっかい}で{ほうりつ}が{かい}[せい]される。,The law is amended by the Diet.,La ley es modificada por la Dieta.
1,正,ただ,パズルに[正]しいピースをはめこむ。,パズルに[ただ]しいピースをはめこむ。,Fit the correct pieces into the puzzle.,Coloca las piezas correctas en el rompecabezas.
1,正,まさ,{昨日見}た{夢}が[正]{夢}になる。,{きのうみ}た{ゆめ}が[まさ]{ゆめ}になる。,The dream I saw yesterday becomes a true dream.,El sueño que vi ayer se convierte en un sueño verdadero.
1,気,き,{田中}くんはいつも{元}[気]だ。,{たなか}くんはいつも{げん}[き]だ。,Tanaka-kun is always cheerful.,Tanaka-kun siempre está alegre.
1,気,け,{山}を{登}っているとあちこちから{動物}の[気]{配}がする。,{やま}を{のぼ}っているとあちこちから{どうぶつ}の[け]{はい}がする。,"As I was climbing the mountain, I could feel the signs of animals everywhere.","Mientras subía la montaña, podía sentir las señales de los animales por todas partes."
1,水,すい,{池}の[水]{面}に{葉}っぱがうかんでいる。,{いけ}の[すい]{めん}に{は}っぱがうかんでいる。,Leaves are floating on the surface of the pond.,Las hojas flotan en la superficie del estanque.
1,水,みず,トイレに[水]を{流}す。,トイレに[みず]を{なが}す。,Flush water down the toilet.,Tira el agua por el inodoro.
1,火,か,{料理}をするために、コンロを{点}[火]する。,{りょうり}をするために、コンロを{てん}[か]する。,Light the stove to cook.,Enciende la estufa para cocinar.
